SiteID,country,city,location,latitude,longitude,population,institution,website
site1,Austria,Graz,ARA Graz,47.070713,15.439504,487040,,https://biomassspec.gmi.tirol/
site2,Austria,Hall-Wattens,Abwasserverband Hall in Tirol-Fritzens,47.29168,11.59284,78180,,https://biomassspec.gmi.tirol/
site3,Austria,Innsbruck,ARA-Innsbruck,47.269212,11.404102,251656,Institute of Legal Medicine and Core Facility Metabolomics,https://biomassspec.gmi.tirol/
site4,Austria,Kapfenberg,Kläranlage Kapfenberg,47.443562,15.2901,31032,,https://biomassspec.gmi.tirol/
site5,Austria,Klosterneuburg,Klosterneuburg,48.309866,16.323772,30000,"Insitute for Water quality, Resource and Waste management",https://biomassspec.gmi.tirol/
site6,Austria,Kufstein,Abwasserverband Kufstein,47.582958,12.17077,41688,,https://biomassspec.gmi.tirol/
site7,Austria,Mürzzuschlag,Kläranlage Langenwang,47.566639,15.6182,30200,,https://biomassspec.gmi.tirol/
site8,Austria,Purgstall,GAV Erlauftal,48.057812,15.13545,7774,,https://biomassspec.gmi.tirol/
site9,Austria,Region Millstattersee,Wasserverband Millstaettersee,46.81924,13.52146,75500,Institute of Legal Medicine and Core Facility Metabolomics,https://biomassspec.gmi.tirol/
site10,Austria,Strass im Zillertal,AIZ Abwasserverband,47.395748,11.82211,135458,,https://biomassspec.gmi.tirol/
site11,Austria,Wasserverband Hofsteig,ARA Hofsteig,47.4852,9.6762,107000,Institute of Legal Medicine and Core Facility Metabolomics,https://biomassspec.gmi.tirol/
site12,Bosnia,Sarajevo,Butile,43.87,18.29,130000,Hydro-Engineering Institute Sarajevo,http://www.heis.com.ba/
site13,Belgium,Antwerp Deurne,Deurne,51.22,4.46,213876,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
site14,Belgium,Antwerp Zuid,Antwerpen-Zuid,51.2,4.39,130218,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
site15,Belgium,Boom,Boom,51.08608,4.36633,30600,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
site16,Belgium,Brugge,Brugge,51.20942,3.2252,300000,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
site17,Belgium,Brussels,Brussel-Noord,50.86,4.36,953987,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
site18,Belgium,Geraardsbergen,Geraardsbergen,50.77,3.88,29047,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
site19,Belgium,Koksijde,Wulpen,51.1,2.7,78441,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
site20,Belgium,Merchtem,Merchtem,50.95842,4.23244,16200,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
site21,Belgium,Ninove,Ninove,50.85,4.03,36179,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
site22,Belgium,Oostende,Oostende,51.21543,2.928656,159000,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
site23,Belgium,Ruisbroek (Puurs),Ruisbroek,50.79035,4.29862,36000,"Toxicological Center, University of Antwerp",https://www.uantwerpen.be/en/rg/tox/
site24,Switzerland,Basel,ARA Basel,47.56,7.59,260000,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
site25,Switzerland,Berne,ARA Bern,46.83,7.62,206655,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
site26,Switzerland,Geneva,STEP SIG,46.2,6.17,417200,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
site27,Switzerland,Lausanne,STEP Vidy,46.52,6.63,220000,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
site28,Switzerland,Lugano,Bioggio,46.02,8.91,103561,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
site29,Switzerland,St. Gallen Hofen,St. Gallen Hofen,47.42,9.38,52000,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
site30,Switzerland,Zurich,Werdhölzli,47.37,8.51,410000,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
site31,Cyprus,Limassol,Sewerage Board of Limassol-Amathus (SBLA),34.69,33.02,188249,"NIREAS, International Water Research Center, University of Cyprus",http://www.nireas-iwrc.org/
site32,Cyprus,Nicosia,Sewage treatment plant of Pano Deftera (Anthoupoli)-Sewerage Board of Nicosia,35.17,33.4,35208,"NIREAS, International Water Research Center, University of Cyprus",http://www.nireas-iwrc.org/
site33,Czech,Brno,Waterworks and sewage of city Brno,49.19506,16.606837,445000,T. G. Masaryk Water Research Institute,https://www.vuv.cz
site34,Czech,Budweis,UCOV CB,48.96,14.46,110300,T. G. Masaryk Water Research Institute,https://www.vuv.cz
